data_type,time_total,time_increment,time_iosix,sensor_data
obd,19.1953,0.01,2021-12-06 09:05:36.195300,"{""e_load"": 28.627}"
obd,19.2051,0.0098,2021-12-06 09:05:36.205100,"{""c_temp"": 17}"
obd,19.2153,0.0102,2021-12-06 09:05:36.215300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,19.2253,0.01,2021-12-06 09:05:36.225300,"{""rpm"": 677.5}"
obd,20.1652,0.0052,2021-12-06 09:05:37.165200,"{""veh_speed"": 0}"
obd,20.175,0.0098,2021-12-06 09:05:37.175000,"{""aat"": 2}"
obd,20.185,0.01,2021-12-06 09:05:37.185000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,20.1952,0.0102,2021-12-06 09:05:37.195200,"{""e_load"": 26.667}"
obd,20.205,0.0098,2021-12-06 09:05:37.205000,"{""c_temp"": 17}"
obd,20.215,0.01,2021-12-06 09:05:37.215000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,20.2251,0.0101,2021-12-06 09:05:37.225100,"{""rpm"": 692.0}"
obd,21.1651,0.0051,2021-12-06 09:05:38.165100,"{""veh_speed"": 0}"
obd,21.1749,0.0098,2021-12-06 09:05:38.174900,"{""aat"": 2}"
obd,21.185,0.0101,2021-12-06 09:05:38.185000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,21.1951,0.0101,2021-12-06 09:05:38.195100,"{""e_load"": 30.196}"
obd,21.2049,0.0098,2021-12-06 09:05:38.204900,"{""c_temp"": 17}"
obd,21.2149,0.01,2021-12-06 09:05:38.214900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,21.225,0.0101,2021-12-06 09:05:38.225000,"{""rpm"": 665.0}"
obd,22.1649,0.0049,2021-12-06 09:05:39.164900,"{""veh_speed"": 0}"
obd,22.1749,0.01,2021-12-06 09:05:39.174900,"{""aat"": 2}"
obd,22.1849,0.01,2021-12-06 09:05:39.184900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,22.1948,0.0099,2021-12-06 09:05:39.194800,"{""e_load"": 28.627}"
obd,22.2049,0.0101,2021-12-06 09:05:39.204900,"{""c_temp"": 17}"
obd,22.2148,0.0099,2021-12-06 09:05:39.214800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,22.2251,0.0103,2021-12-06 09:05:39.225100,"{""rpm"": 674.0}"
obd,23.1648,0.0048,2021-12-06 09:05:40.164800,"{""veh_speed"": 0}"
obd,23.1748,0.01,2021-12-06 09:05:40.174800,"{""aat"": 2}"
obd,23.1848,0.01,2021-12-06 09:05:40.184800,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,23.1947,0.0099,2021-12-06 09:05:40.194700,"{""e_load"": 26.275}"
obd,23.2048,0.0101,2021-12-06 09:05:40.204800,"{""c_temp"": 17}"
obd,23.2147,0.0099,2021-12-06 09:05:40.214700,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,23.225,0.0103,2021-12-06 09:05:40.225000,"{""rpm"": 692.0}"
obd,24.1647,0.0047,2021-12-06 09:05:41.164700,"{""veh_speed"": 0}"
obd,24.1747,0.01,2021-12-06 09:05:41.174700,"{""aat"": 2}"
obd,24.1847,0.01,2021-12-06 09:05:41.184700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,24.1946,0.0099,2021-12-06 09:05:41.194600,"{""e_load"": 27.059}"
obd,24.2047,0.0101,2021-12-06 09:05:41.204700,"{""c_temp"": 17}"
obd,24.2146,0.0099,2021-12-06 09:05:41.214600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,24.2249,0.0103,2021-12-06 09:05:41.224900,"{""rpm"": 686.5}"
obd,25.1646,0.0046,2021-12-06 09:05:42.164600,"{""veh_speed"": 0}"
obd,25.1745,0.0099,2021-12-06 09:05:42.174500,"{""aat"": 2}"
obd,25.1846,0.0101,2021-12-06 09:05:42.184600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,25.1945,0.0099,2021-12-06 09:05:42.194500,"{""e_load"": 27.059}"
obd,25.205,0.0105,2021-12-06 09:05:42.205000,"{""c_temp"": 17}"
obd,25.2145,0.0095,2021-12-06 09:05:42.214500,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,25.2246,0.0101,2021-12-06 09:05:42.224600,"{""rpm"": 686.5}"
obd,26.1646,0.0046,2021-12-06 09:05:43.164600,"{""veh_speed"": 0}"
obd,26.1745,0.0099,2021-12-06 09:05:43.174500,"{""aat"": 2}"
obd,26.1845,0.01,2021-12-06 09:05:43.184500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,26.1945,0.01,2021-12-06 09:05:43.194500,"{""e_load"": 27.843}"
obd,26.2046,0.0101,2021-12-06 09:05:43.204600,"{""c_temp"": 17}"
obd,26.2145,0.0099,2021-12-06 09:05:43.214500,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,26.2246,0.0101,2021-12-06 09:05:43.224600,"{""rpm"": 678.5}"
obd,27.1644,0.0044,2021-12-06 09:05:44.164400,"{""veh_speed"": 0}"
obd,27.1744,0.01,2021-12-06 09:05:44.174400,"{""aat"": 2}"
obd,27.1843,0.0099,2021-12-06 09:05:44.184300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,27.1944,0.0101,2021-12-06 09:05:44.194400,"{""e_load"": 27.843}"
obd,27.2043,0.0099,2021-12-06 09:05:44.204300,"{""c_temp"": 17}"
obd,27.2143,0.01,2021-12-06 09:05:44.214300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,27.2244,0.0101,2021-12-06 09:05:44.224400,"{""rpm"": 685.0}"
obd,28.1643,0.0033,2021-12-06 09:05:45.164300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.26,0.0,2021-12-06 09:05:45.260000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.36,0.0,2021-12-06 09:05:45.360000,"{""fli"": 30.98}"
obd,28.3736,0.0136,2021-12-06 09:05:45.373600,"{""odometer_km"": 148416.392}"
obd,28.4444,0.0708,2021-12-06 09:05:45.444400,"{""veh_speed"": 0}"
obd,28.4543,0.0099,2021-12-06 09:05:45.454300,"{""aat"": 2}"
obd,28.4643,0.0043,2021-12-06 09:05:45.464300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.4744,0.0101,2021-12-06 09:05:45.474400,"{""e_load"": 27.451}"
obd,28.4843,0.0099,2021-12-06 09:05:45.484300,"{""c_temp"": 17}"
obd,28.4943,0.01,2021-12-06 09:05:45.494300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.5044,0.0101,2021-12-06 09:05:45.504400,"{""rpm"": 682.5}"
obd,29.1642,0.0042,2021-12-06 09:05:46.164200,"{""veh_speed"": 0}"
obd,29.1742,0.01,2021-12-06 09:05:46.174200,"{""aat"": 2}"
obd,29.1842,0.01,2021-12-06 09:05:46.184200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,29.1942,0.01,2021-12-06 09:05:46.194200,"{""e_load"": 26.275}"
obd,29.2042,0.01,2021-12-06 09:05:46.204200,"{""c_temp"": 17}"
obd,29.2142,0.01,2021-12-06 09:05:46.214200,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,29.2244,0.0102,2021-12-06 09:05:46.224400,"{""rpm"": 683.5}"
obd,30.1642,0.0042,2021-12-06 09:05:47.164200,"{""veh_speed"": 0}"
obd,30.1742,0.01,2021-12-06 09:05:47.174200,"{""aat"": 2}"
obd,30.1842,0.01,2021-12-06 09:05:47.184200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,30.1947,0.0105,2021-12-06 09:05:47.194700,"{""e_load"": 28.235}"
obd,30.2042,0.0095,2021-12-06 09:05:47.204200,"{""c_temp"": 17}"
obd,30.2141,0.0099,2021-12-06 09:05:47.214100,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,30.2246,0.0105,2021-12-06 09:05:47.224600,"{""rpm"": 673.5}"
obd,31.1641,0.0041,2021-12-06 09:05:48.164100,"{""veh_speed"": 0}"
obd,31.1742,0.0101,2021-12-06 09:05:48.174200,"{""aat"": 2}"
obd,31.1841,0.0099,2021-12-06 09:05:48.184100,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,31.194,0.0099,2021-12-06 09:05:48.194000,"{""e_load"": 27.843}"
obd,31.2041,0.0101,2021-12-06 09:05:48.204100,"{""c_temp"": 17}"
obd,31.214,0.0099,2021-12-06 09:05:48.214000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,31.2241,0.0101,2021-12-06 09:05:48.224100,"{""rpm"": 674.5}"
obd,32.164,0.004,2021-12-06 09:05:49.164000,"{""veh_speed"": 0}"
obd,32.1741,0.0101,2021-12-06 09:05:49.174100,"{""aat"": 2}"
obd,32.1839,0.0098,2021-12-06 09:05:49.183900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,32.1939,0.01,2021-12-06 09:05:49.193900,"{""e_load"": 27.451}"
obd,32.204,0.0101,2021-12-06 09:05:49.204000,"{""c_temp"": 17}"
obd,32.2139,0.0099,2021-12-06 09:05:49.213900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,32.2239,0.01,2021-12-06 09:05:49.223900,"{""rpm"": 673.0}"
obd,33.1639,0.0009,2021-12-06 09:05:50.163900,"{""veh_speed"": 0}"
obd,33.1738,0.0099,2021-12-06 09:05:50.173800,"{""aat"": 2}"
obd,33.1838,0.01,2021-12-06 09:05:50.183800,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,33.1938,0.01,2021-12-06 09:05:50.193800,"{""e_load"": 27.451}"
obd,33.2039,0.0101,2021-12-06 09:05:50.203900,"{""c_temp"": 17}"
obd,33.2644,0.0044,2021-12-06 09:05:50.264400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,33.2739,0.0095,2021-12-06 09:05:50.273900,"{""rpm"": 669.0}"
obd,34.1639,0.0039,2021-12-06 09:05:51.163900,"{""veh_speed"": 0}"
obd,34.1738,0.0099,2021-12-06 09:05:51.173800,"{""aat"": 2}"
obd,34.1838,0.01,2021-12-06 09:05:51.183800,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,34.1938,0.01,2021-12-06 09:05:51.193800,"{""e_load"": 27.843}"
obd,34.2038,0.01,2021-12-06 09:05:51.203800,"{""c_temp"": 17}"
obd,34.2138,0.01,2021-12-06 09:05:51.213800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,34.2238,0.01,2021-12-06 09:05:51.223800,"{""rpm"": 671.5}"
obd,35.1638,0.0038,2021-12-06 09:05:52.163800,"{""veh_speed"": 0}"
obd,35.1737,0.0099,2021-12-06 09:05:52.173700,"{""aat"": 2}"
obd,35.1837,0.01,2021-12-06 09:05:52.183700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,35.1937,0.01,2021-12-06 09:05:52.193700,"{""e_load"": 26.275}"
obd,35.2037,0.01,2021-12-06 09:05:52.203700,"{""c_temp"": 17}"
