data_type,time_total,time_increment,time_iosix,sensor_data
obd,21.4665,0.0099,2021-12-06 12:01:12.466500,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,21.4765,0.01,2021-12-06 12:01:12.476500,"{""rpm"": 1338.0}"
obd,22.4164,0.0044,2021-12-06 12:01:13.416400,"{""veh_speed"": 44}"
obd,22.4265,0.0101,2021-12-06 12:01:13.426500,"{""aat"": 2}"
obd,22.4365,0.01,2021-12-06 12:01:13.436500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,22.4464,0.0099,2021-12-06 12:01:13.446400,"{""e_load"": 0.0}"
obd,22.4565,0.0101,2021-12-06 12:01:13.456500,"{""c_temp"": 74}"
obd,22.4664,0.0099,2021-12-06 12:01:13.466400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,22.4764,0.01,2021-12-06 12:01:13.476400,"{""rpm"": 1331.0}"
obd,23.4162,0.0042,2021-12-06 12:01:14.416200,"{""veh_speed"": 43}"
obd,23.4264,0.0102,2021-12-06 12:01:14.426400,"{""aat"": 2}"
obd,23.4366,0.0102,2021-12-06 12:01:14.436600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,23.4463,0.0097,2021-12-06 12:01:14.446300,"{""e_load"": 0.0}"
obd,23.457,0.0107,2021-12-06 12:01:14.457000,"{""c_temp"": 74}"
obd,23.4667,0.0097,2021-12-06 12:01:14.466700,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,23.4763,0.0096,2021-12-06 12:01:14.476300,"{""rpm"": 1331.0}"
obd,24.4162,0.0042,2021-12-06 12:01:15.416200,"{""veh_speed"": 43}"
obd,24.4264,0.0102,2021-12-06 12:01:15.426400,"{""aat"": 2}"
obd,24.4362,0.0098,2021-12-06 12:01:15.436200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,24.4463,0.0101,2021-12-06 12:01:15.446300,"{""e_load"": 0.0}"
obd,24.4567,0.0104,2021-12-06 12:01:15.456700,"{""c_temp"": 74}"
obd,24.4663,0.0096,2021-12-06 12:01:15.466300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,24.4762,0.0099,2021-12-06 12:01:15.476200,"{""rpm"": 1317.5}"
obd,25.4161,0.0041,2021-12-06 12:01:16.416100,"{""veh_speed"": 43}"
obd,25.4263,0.0102,2021-12-06 12:01:16.426300,"{""aat"": 2}"
obd,25.4363,0.01,2021-12-06 12:01:16.436300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,25.4462,0.0099,2021-12-06 12:01:16.446200,"{""e_load"": 64.314}"
obd,25.4561,0.0099,2021-12-06 12:01:16.456100,"{""c_temp"": 74}"
obd,25.4662,0.0101,2021-12-06 12:01:16.466200,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,25.4761,0.0099,2021-12-06 12:01:16.476100,"{""rpm"": 1324.5}"
obd,26.416,0.004,2021-12-06 12:01:17.416000,"{""veh_speed"": 43}"
obd,26.4262,0.0102,2021-12-06 12:01:17.426200,"{""aat"": 2}"
